dataset,model,accuracy,epochs
cod RNA,Adding,0.8804971706483762,20
cod RNA,Adding (prop),0.8825773055442038,20
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.8550753450630851,-1
cod RNA,Adding,0.8898964350537706,200
cod RNA,Adding (prop),0.8901210159894263,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.7161812404967288,-1
cod RNA,Adding,0.8804971706483762,20
cod RNA,Adding (prop),0.8825773055442038,20
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.9373271923333223,-1
cod RNA,Adding,0.8804971706483762,20
cod RNA,Adding (prop),0.8825773055442038,20
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.9385826365801846,-1
cod RNA,Adding,0.8898964350537706,200
cod RNA,Adding (prop),0.8901210159894263,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.94011052327358,-1
webspam,Adding,0.9247542857142858,200
webspam,Adding (prop),0.9255828571428572,200
webspam,perceptron,0.9182228571428571,-1
webspam,svm,0.92544,-1
cod RNA,Adding,0.8898964350537706,200
cod RNA,Adding (prop),0.8901210159894263,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.658231995788187,-1
covtype,Adding,0.609915879606721,50
covtype,Adding (prop),0.6101675953615455,50
covtype,perceptron,0.5169165895742346,-1
covtype,svm,0.5122135926507605,-1
covtype,Adding,0.6092037606764054,50
covtype,Adding (prop),0.610683935371442,50
covtype,perceptron,0.5113422688840602,-1
covtype,svm,0.5125599707407328,-1
cod RNA,Adding,0.8898964350537706,200
cod RNA,Adding (prop),0.8901210159894263,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.9461410736441386,-1
covtype,Adding,0.5980120909618984,100
covtype,Adding (prop),0.5974441169510123,100
covtype,perceptron,0.4881951765237409,-1
covtype,svm,0.5053936016867107,-1
covtype,Adding,0.5904003786493406,100
covtype,Adding (prop),0.591732105591532,100
covtype,perceptron,0.5129321658311998,-1
covtype,svm,0.49675136077106774,-1
cod RNA,Adding,0.8898964350537706,200
cod RNA,Adding (prop),0.8901210159894263,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.6844637854037119,-1
cod RNA,Adding,0.8898964350537706,200
cod RNA,Adding (prop),0.8901210159894263,200
cod RNA,perceptron,0.6846957296487334,-1
cod RNA,svm,0.5145664667528174,-1
covtype,Adding,0.5674748822099352,100
covtype,Adding (prop),0.5663884167724447,100
covtype,perceptron,0.5959833050063467,-1
covtype,svm,0.5124825197392483,-1
covtype,Adding,0.597801252124524,200
covtype,Adding (prop),0.5960499989242917,200
covtype,perceptron,0.5076246208128052,-1
covtype,svm,0.5705664680191906,-1
covtype,Adding,0.6028592328048019,300
covtype,Adding (prop),0.6014199350272155,300
covtype,perceptron,0.5107549321228029,-1
covtype,svm,0.5738473784987415,-1
webspam,Adding,0.9261657142857143,200
webspam,Adding (prop),0.92624,200
webspam,perceptron,0.9195257142857143,-1
webspam,svm,0.9255085714285715,-1
IMDB,Adding,0.8815152606104244,200
IMDB,Adding (prop),0.8814752590103604,200
IMDB,perceptron,0.8492739709588384,-1
IMDB,svm,0.8525541021640866,-1
IMDB,Adding,0.8811952478099124,300
IMDB,Adding (prop),0.8811552462098484,300
IMDB,perceptron,0.8492739709588384,-1
IMDB,svm,0.8524740989639585,-1
poker,Adding,0.465967,200
poker,Adding (prop),0.498064,200
poker,perceptron,0.410966,-1
poker,svm,0.495826,-1
poker,Adding,0.469817,300
poker,Adding (prop),0.497097,300
poker,perceptron,0.410966,-1
poker,svm,0.438163,-1
poker,Adding,0.500669,100
poker,Adding (prop),0.50121,100
poker,perceptron,0.410966,-1
poker,svm,0.501209,-1
colon,Adding,0.58,300
colon,Adding (prop),0.58,300
colon,perceptron,0.58,-1
colon,svm,0.68,-1
real-sim,Adding,0.9702669063753284,20
real-sim,Adding (prop),0.9702945650670723,20
real-sim,perceptron,0.9602821186557876,-1
real-sim,svm,0.9717051583460102,-1
real-sim,Adding,0.9722583321808879,200
real-sim,Adding (prop),0.9722583321808879,200
real-sim,perceptron,0.9596183100539345,-1
real-sim,svm,0.9715392061955469,-1
real-sim,Adding,0.9725072604065828,300
real-sim,Adding (prop),0.9724796017148389,300
real-sim,perceptron,0.9636011616650533,-1
real-sim,svm,0.9727561886322776,-1
real-sim,Adding,0.9726178951735583,300
real-sim,Adding (prop),0.9726178951735583,300
real-sim,perceptron,0.9621905683861154,-1
real-sim,svm,0.9719264278799613,-1
poker,Adding,0.502374,100
poker,Adding (prop),0.50204,100
poker,perceptron,0.410966,-1
poker,svm,0.501729,-1
webspam,Adding,0.9274457142857143,200
webspam,Adding (prop),0.9275257142857143,200
webspam,perceptron,0.8699028571428571,-1
webspam,svm,0.9265371428571428,-1
rcv,Adding,0.9609594935924027,100
rcv,Adding (prop),0.9609535886530686,100
rcv,perceptron,0.9498390165914032,-1
rcv,svm,0.9622733425942466,-1
rcv,Adding,0.9612975513692816,200
rcv,Adding (prop),0.9613019800737822,200
rcv,perceptron,0.9498390165914032,-1
rcv,svm,0.9622733425942466,-1
poker,Adding,0.50158,100
poker,Adding (prop),0.501456,100
poker,perceptron,0.410966,-1
poker,svm,0.461384,-1
webspam,Adding,0.9267028571428572,100
webspam,Adding (prop),0.9267257142857143,100
